year,month,TPU,,,"Source: ''Economic Policy Uncertainty in China Since 1949: The View from Mainland Newspapers,” by Steven J. Davis, Dingqian Liu and Xuguang S. Sheng, 2019. "
2016,10,50.4,,,
2016,11,87.0,,,
2016,12,108.0,,,
2017,1,452.2,,,
2017,2,286.8,,,
2017,3,641.3,,,
2017,4,173.0,,,
2017,5,112.1,,,
2017,6,264.2,,,
2017,7,268.4,,,
2017,8,183.1,,,
2017,9,389.5,,,
2017,10,167.6,,,
2017,11,249.2,,,
2017,12,297.2,,,
2018,1,280.2,,,
2018,2,110.0,,,
2018,3,543.4,,,
2018,4,502.9,,,
2018,5,208.3,,,
2018,6,444.1,,,
2018,7,632.8,,,
2018,8,500.0,,,
2018,9,833.2,,,
2018,10,663.7,,,
2018,11,1071.7,,,
2018,12,363.7,,,
2019,1,437.2,,,
2019,2,439.8,,,
2019,3,905.4,,,
2019,4,392.1,,,
2019,5,513.9,,,
2019,6,1425.2,,,
2019,7,598.0,,,
2019,8,665.9,,,
2019,9,646.7,,,
2019,10,487.7,,,
2019,11,879.8,,,
2019,12,859.9,,,
2020,1,350.3,,,
2020,2,132.6,,,
2020,3,105.9,,,
2020,4,193.1,,,
2020,5,547.3,,,
2020,6,473.9,,,
2020,7,340.8,,,
